ID,Form 2: Q1. i) Name the type of defect shown,Form 3: Q1. ii) Describe TWO primary anatomical characteristics of this type of defect,Form 4: Q1. iii) What would be the direction of shunting (of blood) in this patient?,Form 5: Q1. iv) Which TWO factors control the direction of shunting?,Form 6: Q1. v) Which ventricle would become dilated?,Form 7: Q1. vi) What would be the direction of shunting (in diastole and systole) in a patient with the anatomy shown AND a fibrotic right ventricle with good systolic function and no tricuspid regurgita...,Form 8: Q2. i) What additional anatomic information is needed in order to distinguish the septal defect shown from a large inlet perimembranous VSD?,Form 9: Q2. ii) What would be the likely direction of shunting of blood?,Form 10: Q2. iii) What is the primary reason for the direction of shunting?,Form 11: Q3. i) Identify the structure marked 'X',Form 12: Q3. ii) Identify the structure marked ‘Y’ ,Form 13: Q3. iii) Identify the structure marked ‘Z’ ,Form 14: Q3. iv) Where would the ventricular conduction tissue lie with respect to the ventricular septal defect ?,"Form 15: Q3. v) This patient was initially profoundly cyanotic, and now has a modified Blalock-Taussig shunt. The saturations are now 92% - Describe TWO potentially deleterious consequences of this situation",Form 16: Q4. i) Name the type of defect shown,Form 17: Q4. ii) Describe TWO features which would help differentiate this defect from a inferior sinus venosus defect,Form 18: Q4. iii) What would be the direction of shunting (of blood) in this patient?2,Form 19: Q4. iv) The patient has very severe tricuspid valve stenosis - what is the direction of shunting in systole and diastole?,Form 20: Q5. i) What is the typical name given to this malformation?,"Form 21: Q5. ii) Describe THREE abnormalities, shown in the image, that are consistent with the diagnosis in part i)",Form 22: Q5. iii) What are the FOUR main components of the first stage of surgical palliation for this malformation?,Form 23: Q6. i) Describe the defect marked with the yellow ‘X’ in terms of borders and location,Form 24: Q6. ii) Where would the ventricular conduction system be located with respect to the defect?,Form 25: Q6. iii) What TWO anatomic features could complicate device closure of this defect?,Form 26: Q6. iv) Which ventricle would be enlarged?,"Form 27: Q7. i) Assuming there is an arterial outlet from each ventricle, what is the ventricular topology?","Form 28: Q7. ii) If there are discordant ventriculo-arterial connections, according to the Leiden convention, what would be the most common pattern of coronary arterial origins from the Right Hand Facing ...",Form 29: Q7. iii) And what would be the likely course of the ventricular conduction system in terms of the AV node and bundle of His (non-branching bundle) with the same ventriculo-arterial connections?,Form 30: Q7. iv) Why might the course conduction system differ in the setting of pulmonary atresia?,Form 31: Q8. i) What is the bronchial arrangement?,Form 32: Q8. ii) State briefly how this is best explained in terms of abnormal embryonic development & gene expression,Form 33: Q8. iii) Describe THREE anatomic abnormalities of the conduction system that could be present in this patient ,Form 34: Q9. i) What will be the main effect of the trans-annular patch on valve function in this patient?,Form 35: Q9. ii) What change in right ventricular ejection volume is required to compensate for the change in valve function?,Form 36: Q9. iii) How will this be achieved in terms of RV size and sarcomeric configuration?,Form 37: Q9. iv) How will this change in gross RV anatomy affect wall tension?,Form 38: Q9. v) Name the law that describes the change in part iv),Form 39: Q9. vii) What changes in sarcomeric configuration will be induced by the subsequent change in wall tension?,Form 40: Q10. i) Describe the ventriculo-arterial connections present,Form 41: Q10. ii) What is the nature of the ventricular septal defect (marked ‘X’) in terms of both its borders and location?,Form 42: Q10. iii) There is obstruction to the ventricular outflow tract (seen in B) - what would be the effect of this lesion on the direction of shunting of blood across the ventricular septal defect? ,Form 43: Q10. iv) Why would the obstruction be important to address during surgical repair?,Form 44: Q11. i) The pulmonary vascular resistance (PVR) is greater than the systemic vascular resistance (SVR) in this patient. What would be the direction of blood flow in the arterial duct?,Form 45: Q11. ii) What would be the main clinical sign in this patient?,"Form 46: Q11. iii) In infancy SVR was greater PVR, why is PVR greater now and what is this syndrome called? ",Form 47: Q11. iv) Describe TWO main anatomical changes in the pulmonary vascular bed that lead to raised PVR,Form 48: Q12. i) What type of ventricular septal defect (marked ‘X’) is there in terms of both it’s borders and location within the RV? ,Form 49: Q12. ii) What can be seen in the image as a source of blood supply to the lungs in this case?,Form 50: Q12. iii) What TWO surgical procedures could be use to augment blood supply to the lungs - initially and at full repair?,Form 51: Q12. iv) What is the direction of blood flow across the VSD?
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,0.0,0.5,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
